Rank,Team,W,L,AdjOffEff,AdjDefEff,Total
54,VIRGINIA TECH,16,6,1.1325935375104617,1.00969138310761,0.12290215440285168
55,SOUTH FLORIDA,13,7,1.1436659222740286,1.022065656959797,0.12160026531423163
56,SETON HALL,15,6,1.0794532304498894,0.9596990953983084,0.11975413505158095
57,ILLINOIS STATE,14,7,1.119343690769758,1.0012039672634825,0.11813972350627555
58,CENTRAL FLORIDA,16,4,1.1680277389923897,1.0500567935316383,0.11797094546075138
59,CALIFORNIA,14,6,1.1073791851883341,0.9916799145396252,0.11569927064870889
60,BUTLER,13,8,1.1527663178831082,1.0373638185206981,0.1154024993624101
61,SOUTHERN CALIFORNIA,14,6,1.1255517952684826,1.010586169329371,0.11496562593911164
62,BAYLOR,10,9,1.1822839197512025,1.0674462224687298,0.11483769728247273
63,NORTHWESTERN,10,11,1.1535558920576743,1.0408886409724885,0.11266725108518583
64,GEORGE WASHINGTON,12,8,1.1640925553369712,1.0546041893842635,0.10948836595270772
65,MIAMI OH,18,0,1.1787451373562536,1.0704118352655407,0.1083333020907129
66,HIGH POINT,16,4,1.1816388023994704,1.0737214958350416,0.10791730656442877
67,NEVADA,16,6,1.1519259523728935,1.0470659979751031,0.10485995439779039
68,OKLAHOMA,11,10,1.1742281029622894,1.069837486538789,0.10439061642350045
69,BOISE STATE,12,8,1.131830499595201,1.028771274105595,0.10305922548960611
70,WICHITA STATE,12,8,1.1181044404705374,1.0153295329516194,0.10277490751891794
71,WEST VIRGINIA,14,7,1.1007428247674023,0.9984421663306082,0.10230065843679403
72,WAKE FOREST,11,10,1.1207260806363804,1.0190716014062113,0.10165447923016901
73,LIBERTY,15,3,1.164828021228889,1.0647443991187675,0.10008362211012156
74,MURRAY STATE,16,6,1.1651690439157976,1.0660232088473733,0.09914583506842423
75,CREIGHTON,12,9,1.1481956261048634,1.0490503186523872,0.09914530745247618
76,GEORGE MASON,18,2,1.126481356162226,1.0283438473113664,0.09813750885085959
77,GRAND CANYON,14,7,1.081882730754359,0.9914787016506279,0.09040402910373113
78,MISSOURI,14,7,1.1346692018740963,1.04792953174457,0.08673967012952621
79,PROVIDENCE,9,13,1.1801931918212722,1.0952582321652484,0.08493495965602382
80,STEPHEN F AUSTIN,16,3,1.0915133372442112,1.0077844294092881,0.08372890783492304
81,DAYTON,14,8,1.092826744978699,1.0096281591427494,0.08319858583594963
82,NOTRE DAME,11,10,1.1131968288710579,1.0304453239594502,0.08275150491160765
83,MISSISSIPPI,11,9,1.1029313472422864,1.0215374624052884,0.08139388483699794
84,NORTH CAROLINA WILMINGTON,17,3,1.1309612444809702,1.050299446637547,0.0806617978434232
85,MINNESOTA,10,11,1.0923317498866565,1.0117213547078472,0.0806103951788093
86,CINCINNATI,11,10,1.0323310647745187,0.951755981228679,0.08057508354583975
87,COLORADO,12,9,1.1606247541850263,1.0808866986746035,0.07973805551042279
88,SYRACUSE,12,9,1.0993541616290512,1.0225298077537843,0.07682435387526687
89,HAWAII,13,5,1.0509109983150768,0.9749270118373546,0.0759839864777222
90,EAST TENNESSEE STATE,13,7,1.1176583948174112,1.0425040446400489,0.07515435017736238
91,UTAH VALLEY,13,6,1.103045892413857,1.029125055163354,0.07392083725050314
92,COLORADO STATE,11,9,1.1796920817454166,1.1060687018579245,0.07362337988749212
93,FLORIDA ATLANTIC,12,7,1.1184545251709992,1.0469888391824709,0.07146568598852832
94,STANFORD,14,7,1.1127979216045578,1.044225576078224,0.06857234552633384
95,OKLAHOMA STATE,14,6,1.117784410660146,1.0500941299428532,0.06769028071729277
96,SOUTH CAROLINA,11,10,1.1103863201937332,1.044257467437958,0.06612885275577507
97,SAM HOUSTON STATE,11,7,1.1076555399271666,1.0435395078781995,0.0641160320489671
98,HOFSTRA,11,9,1.1271006870993578,1.0648386258937232,0.0622620612056346
99,KANSAS STATE,10,11,1.116397937028607,1.0556697036745628,0.0607282333540442
100,PACIFIC,13,8,1.0986682141546185,1.0391108564507694,0.05955735770384907
101,ARIZONA STATE,11,10,1.1275750529704256,1.0687179315500983,0.058857121420327285
102,SAN FRANCISCO,12,10,1.1030100510576444,1.0443150799421623,0.05869497111548205
103,RICHMOND,12,9,1.1175394427535397,1.0614699443891757,0.05606949836436392
104,MERCER,11,8,1.1325055619601248,1.07649148686944,0.05601407509068479
105,MISSISSIPPI STATE,11,10,1.0878836314108826,1.0320933304348328,0.05579030097604987
106,NORTHERN IOWA,12,9,1.029781450073109,0.9750236018976732,0.05475784817543583
107,NORTH DAKOTA STATE,15,5,1.1057771487709385,1.0515059246132077,0.05427122415773078
108,GEORGETOWN,11,10,1.1178579232091925,1.0640193916579432,0.05383853155124929
109,DEPAUL,12,9,1.0690892292519978,1.015767340336903,0.05332188891509482
110,WILLIAM MARY,12,7,1.0949997233723974,1.0417894670708505,0.053210256301546854
111,WYOMING,11,9,1.1183679880527582,1.0653169839530297,0.053051004099728516
112,ST THOMAS MN,14,6,1.1159967014551453,1.063255604243155,0.052741097211990384
113,CALIFORNIA IRVINE,13,7,1.0334447709291308,0.9830813032691894,0.050363467659941374
114,XAVIER,11,10,1.0998085355321794,1.0514607425908582,0.04834779294132119
115,WINTHROP,12,8,1.1200612162060368,1.0724469242504135,0.04761429195562328
116,SOUTHERN ILLINOIS,7,12,1.056072676045492,1.0092653523391832,0.04680732370630869
117,RHODE ISLAND,13,8,1.076422723834161,1.0297716371429368,0.0466510866912242
118,TROY,13,7,1.1199292672624956,1.0733808233291406,0.046548443933355
119,CALIFORNIA SAN DIEGO,13,7,1.0894033370659884,1.0452651917719273,0.044138145294061015
120,UTAH,9,11,1.1400622509648723,1.097188110137342,0.04287414082753038
121,FLORIDA STATE,9,12,1.0949045743315706,1.0534612006455024,0.04144337368606821
122,BOWLING GREEN STATE,10,8,1.0868596014810252,1.0454250765137179,0.04143452496730737
123,ALABAMA BIRMINGHAM,12,8,1.0855783710515454,1.0453910582067227,0.04018731284482269
124,MEMPHIS,10,10,1.047305871167794,1.008533919226676,0.038771951941118044
125,PITTSBURGH,9,12,1.10326883040557,1.064948870689109,0.03831995971646096
126,WRIGHT STATE,12,8,1.1053709556097255,1.0673435947304384,0.03802736087928715
127,CALIFORNIA BAPTIST,15,6,1.067429302297829,1.0295177394661277,0.03791156283170127
128,DAVIDSON,11,8,1.0843482464324137,1.0481425623339595,0.03620568409845415
129,CALIFORNIA SANTA BARBARA,12,7,1.1397680200952096,1.1057397487332716,0.03402827136193798
130,TEXAS ARLINGTON,12,6,1.0308656041665936,0.9987106321179748,0.032154972048618724
131,MONTANA STATE,10,9,1.0967944300998391,1.0649714370231698,0.03182299307666936
132,SEATTLE,12,9,1.0141479009481378,0.9833312203002882,0.030816680647849592
133,COLUMBIA,12,6,1.0923767417810202,1.0637081124234529,0.02866862935756731
134,MARIST,13,7,1.0263643854065747,0.9987027849105727,0.02766160049600197
135,OREGON,8,13,1.0912430860494546,1.06499448231486,0.02624860373459459
136,OAKLAND,12,10,1.143916701017322,1.1191282133695224,0.024788487647799506
137,BUFFALO,12,7,1.1395632400445523,1.116647554500835,0.022915685543717368
138,MARSHALL,12,8,1.099692829170488,1.0767856979562878,0.022907131214200183
139,CORNELL,8,9,1.182402990313561,1.1595193733790448,0.02288361693451635
140,NAVY,14,6,1.049973253488336,1.027164751342504,0.022808502145831966
141,BRADLEY,13,8,1.0940482451467706,1.0712779741831753,0.022770270963595296
142,ILLINOIS CHICAGO,10,10,1.0764846423880428,1.0564870161385862,0.019997626249456557
143,ELON,11,9,1.1442610103816688,1.1252020321986178,0.019058978183051023
144,TEMPLE,12,8,1.1051378999960606,1.0862175897132897,0.018920310282770858
145,GEORGIA TECH,11,10,1.0492169142344427,1.0303712504505231,0.01884566378391961
146,KENNESAW STATE,10,8,1.0913160182020443,1.0729918905082416,0.01832412769380265
147,HARVARD,10,9,1.088057124385841,1.0698614716241872,0.018195652761653802
148,MIDDLE TENNESSEE,8,9,1.0749439464389876,1.0578592345218152,0.017084711917172424
149,DRAKE,10,10,1.089080831218422,1.0728172285068216,0.016263602711600322
150,LIPSCOMB,12,8,1.080968002660719,1.064877391200782,0.016090611459936843
151,WASHINGTON STATE,9,13,1.1122717947205252,1.0967307251765352,0.015541069543989927
152,SIENA,15,7,1.0806137036736363,1.0657370684198308,0.014876635253805448
153,MONTANA,10,8,1.0748049250943343,1.06020935626096,0.014595568833374317
154,IDAHO STATE,7,10,1.1207639511926821,1.1063108956681271,0.014453055524555003
155,MARQUETTE,8,14,1.0670262399760437,1.0539988504240083,0.013027389552035418
156,PORTLAND STATE,10,6,1.0286500633454243,1.0159308020739435,0.01271926127148082
157,NEVADA LAS VEGAS,9,11,1.0902994820815548,1.0778064090152002,0.01249307306635461
158,TEXAS PAN AMERICAN,8,11,1.0496143642173057,1.0375244734422246,0.012089890775081047
159,ST BONAVENTURE,12,8,1.1075040060967491,1.0960011325038927,0.0115028735928564
160,PENN STATE,9,12,1.1302955101178702,1.1189266142312313,0.011368895886638919
161,AUSTIN PEAY,11,6,1.0402473504382452,1.0313079498784443,0.008939400559800914
162,CHARLOTTE,12,9,1.128991915531054,1.1202150416644556,0.008776873866598311
163,BOSTON COLLEGE,9,11,1.0112332281267982,1.0038515325031896,0.007381695623608575
164,FURMAN,12,7,1.0731872070464927,1.066637452045496,0.006549755000996749
165,NORTH TEXAS,10,9,1.0141691638228647,1.0079917882796818,0.0061773755431828725
166,COLLEGE OF CHARLESTON,13,8,1.0678096106381945,1.062514297631157,0.00529531300703745
167,DUQUESNE,9,10,1.0821077925860623,1.077250015687012,0.0048577768990503145
168,TOLEDO,9,10,1.1169612549781498,1.115469949785615,0.0014913051925347087
169,APPALACHIAN STATE,12,9,1.0507761111650888,1.0495860162556376,0.0011900949094512114
170,IDAHO,9,8,1.085377921340264,1.0843184874194671,0.0010594339207967707
171,SAINT JOSEPHS,11,8,1.0516566420671343,1.0512664217832395,0.00039022028389479324
172,SOUTH DAKOTA STATE,7,12,1.0843093631095406,1.084781504136034,-0.00047214102649340006
173,NEW MEXICO STATE,7,10,1.0975893917817128,1.0981356027756761,-0.0005462109939633475
174,FRESNO STATE,8,11,1.028702617835177,1.0292655972385953,-0.0005629794034183178
175,ARKANSAS STATE,11,9,1.0932368938724701,1.0943203614700507,-0.0010834675975806007
176,VALPARAISO,9,11,1.0435068092286954,1.0445962915650842,-0.0010894823363887252
177,PENNSYLVANIA,8,10,1.077409787596165,1.078952866885111,-0.0015430792889459255
178,KENT STATE,14,6,1.0772662749654296,1.0792238917487698,-0.001957616783340166
179,LOYOLA MARYMOUNT,10,12,1.0275920511556065,1.0309451006801866,-0.003353049524580154
180,WEBER STATE,8,11,1.0868047078911038,1.0907742127461713,-0.003969504855067418
181,WESTERN KENTUCKY,9,10,1.0457135103346553,1.0514302334766492,-0.005716723141993896
182,LONG ISLAND UNIVERSITY,12,8,1.068189089656128,1.074312604126501,-0.00612351447037307
183,TENNESSEE MARTIN,13,5,1.0424357554879013,1.0501431668631438,-0.007707411375242446
184,FLORIDA INTERNATIONAL,7,11,1.0656927949531498,1.0738125876626448,-0.008119792709494922
185,VERMONT,12,8,1.0935037252358393,1.1026120673142277,-0.009108342078388398
186,RUTGERS,9,12,1.0659969138605776,1.07655805854979,-0.010561144689212432
187,NORTHERN COLORADO,9,10,1.0988215342877505,1.1093856493784977,-0.010564115090747173
188,SOUTH ALABAMA,13,6,1.0446875901295731,1.0564289927446369,-0.011741402615063734
189,DREXEL,10,11,1.0397983627084963,1.0517099305748898,-0.011911567866393469
190,WOFFORD,13,7,1.0938772380030009,1.1065701063395548,-0.01269286833655392
191,MONMOUTH,10,11,1.0429943747101849,1.05665535277545,-0.013660978065265228
192,ROBERT MORRIS,12,9,1.0960783045822993,1.1101165540352465,-0.014038249452947182
193,CAL STATE FULLERTON,8,12,1.068175213963375,1.0830631581301942,-0.014887944166819267
194,CENTRAL ARKANSAS,9,10,1.055023874759317,1.070098122412141,-0.015074247652824058
195,COLGATE,11,9,1.0866949713946736,1.1020867804427739,-0.015391809048100225
196,QUINNIPIAC,13,9,1.0585621226995041,1.0741315259353124,-0.015569403235808243
197,MASSACHUSETTS,12,9,1.05283978344329,1.0686447181957248,-0.01580493475243472
198,JAMES MADISON,10,11,1.099356484411734,1.1165296728349456,-0.017173188423211583
199,TOWSON,10,11,1.0243737549162182,1.0416726850643505,-0.01729893014813233
200,NORTHERN KENTUCKY,11,9,1.0814753063876565,1.0999652673862745,-0.018489960998617994
201,LAMAR,9,10,1.0483948729366526,1.068351631453151,-0.019956758516498363
202,NORTH CAROLINA ASHEVILLE,7,12,1.057352002073123,1.0776986741996832,-0.02034667212656016
203,MARYLAND,8,12,1.0659573644050726,1.086506406702044,-0.02054904229697141
204,TEXAS AM CORPUS CHRISTI,7,10,1.0012917113332256,1.0219854122307745,-0.02069370089754896
205,QUEENS NC,11,10,1.1338523371853153,1.1547820210268325,-0.020929683841517166
206,FORDHAM,8,10,1.0297327343157476,1.05198839025076,-0.02225565593501244
207,JACKSONVILLE STATE,8,9,1.0521952887651587,1.0756709368649315,-0.023475648099772872
208,CHARLESTON SOUTHERN,8,12,1.0424557027172467,1.067717952170577,-0.025262249453330332
